Filename,Document Name,Most Favored Nation,Most Favored Nation-Answer,Competitive Restriction Exception,Competitive Restriction Exception-Answer,Non-Compete,Non-Compete-Answer,Exclusivity,Exclusivity-Answer,No-Solicit Of Customers,No-Solicit Of Customers-Answer,No-Solicit Of Employees,No-Solicit Of Employees-Answer,Non-Disparagement,Non-Disparagement-Answer,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn-Answer
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,['DEVELOPMENT AGREEMENT'],[],No,"['For purposes of clarity, the foregoing does not prevent   Conformis from granting any license, release, covenant not to sue or other immunity to any third party under any Patents, including   any such immunity that would authorize manufacture, use or sale of Patient-Specific Instrumentation for Off-The-Shelf Knee   Implants outside the Buyer Field.', 'Except as specifically provided in the Distribution Agreement, Conformis shall be prohibited from   developing or assisting another in developing, or causing another to develop, Patient-Specific Instrumentation for Off-The-Shelf   Knee Implants for any Third Party in the field of orthopedics until January 1, 2032 (or earlier, to the extent set forth in Section   2.3.3.4 or Section 2.3.5 of the Distribution Agreement), with the exception that Conformis (including any entity involved in a   Change of Control of Conformis, any such entity an ""Acquirer""), may develop Patient-Specific Instrumentation for any Off-The-   Shelf Implants of Conformis, an Acquirer or any of their Affiliates.']",Yes,[],No,"['Except as specifically provided in the Distribution Agreement, Conformis shall be prohibited from   developing or assisting another in developing, or causing another to develop, Patient-Specific Instrumentation for Off-The-Shelf   Knee Implants for any Third Party in the field of orthopedics until January 1, 2032 (or earlier, to the extent set forth in Section   2.3.3.4 or Section 2.3.5 of the Distribution Agreement), with the exception that Conformis (including any entity involved in a   Change of Control of Conformis, any such entity an ""Acquirer""), may develop Patient-Specific Instrumentation for any Off-The-   Shelf Implants of Conformis, an Acquirer or any of their Affiliates.']",Yes,[],No,[],No,[],No,"['Notwithstanding the foregoing, in the event that the applicable Party decides not to file at all or not to file a continuing or other   application to maintain the viability of the U.S part of a family of patents to which an application belongs, or decides to abandon or   discontinue the prosecution or maintenance of any of the Joint IP Rights, such Party shall notify the other Party thereof, and such   other Party may elect to continue the prosecution (including non-provisional application and PCT entry) or maintenance of such   Joint IP Rights at its sole expense and in the name(s) of both Stryker and Conformis']",Yes
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],[],No,[],No,"['During the Term of this Agreement, and for a period of two (2) years thereafter, Aucta shall not research, develop, manufacture, file, sell, market, or distribute more than two products containing the active ingredient Lamotrigine; nor will Aucta directly or indirectly assist any other Person or entity in carrying or any such activities. [ * * * ]']",Yes,"['Aucta, for itself and its Affiliates, hereby grants to ETON in accordance with the terms and conditions of this Agreement, an exclusive (even as to and against Aucta in the Territory) right and license, including the right to sublicense, to the Products (or any components thereof), Dossiers, and all current and future Aucta Background Intellectual Property that is owned or controlled by Aucta or its Affiliates for ETON to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell (collectively, ""Market"") the Products in and for the Territory.']",Yes,[],No,[],No,[],No,[],No
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,['JOINT DEVELOPMENT AGREEMENT'],[],No,"['Notwithstanding the foregoing, ExxonMobil hereby grants approval for FCE solely to conduct Authorized Work using Generation 1 Technology with Authorized Third Parties for Carbon Capture Applications and any Work using Generation 2 Technology solely for Power Applications and Hydrogen Applications.']",Yes,"['During the Term of this Agreement, FCE will not conduct any Work using Generation 1 Technology in Carbon Capture Applications or any Work using Generation 2 Technology, independently or with third parties outside this Agreement, without prior written approval from ExxonMobil.']",Yes,[],No,[],No,[],No,[],No,"['Notwithstanding the foregoing, in the event ExxonMobil decides not to prosecute, defend, enforce, maintain or decides to abandon any Program Patent, then ExxonMobil will provide notice thereof to FCE, and FCE will then have the right, but not the obligation, to prosecute or maintain the Program Patent and sole responsibility for the continuing costs, taxes, legal fees, maintenance fees and other fees associated with that Program Patent.', 'During the Term of this Agreement and for two (2) years thereafter, in the event that either Party decides to sell or convey its interest in or otherwise dispose of any Prior JDA Project Patent to any Non-Affiliated Third Party, such Party will inform the other Party, who will then have the right of first refusal to purchase or otherwise acquire the sole interest at same or better terms.']",Yes
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,['RECIPE DEVELOPMENT AGREEMENT'],[],No,[],No,[],No,"['In exchange for Company\'s contributions and obligations under this Agreement, Reed\'s grants Company the exclusive right to manufacture, package, promote, sell and distribute the Products (if and to the extent approved by the Development Committee), subject to the terms and conditions of a separate Manufacturing and Distribution Agreement to be entered into by the parties concurrently with this Agreement, as it may be amended, modified, supplemented or restated from time to time (the ""Manufacturing and Distribution Agreement"").']",Yes,[],No,[],No,[],No,[],No
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,['Distributorship agreement'],[],No,[],No,"['The Distributor shall not:<omitted>act as the agent or the buying agent, for any person for any goods which are competitive with the Product; or']",Yes,[],No,[],No,[],No,[],No,[],No
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,['DISTRIBUTOR AGREEMENT'],"[""Such Prices and Volume Discount Prices shall only be subject to increase once per year on each anniversary date of this Agreement, provided (i) Company provides Distributor with at least Ninety (90) days prior written notice of any such increase, and (ii) such increase does not exceed 5% of the preceding year's Prices, except for reasons of force majeure, (Chapter 10), and Volume Discount Prices nor the lowest price charged to others for the same Product.""]",Yes,[],No,[],No,"['Subject to the terms and conditions of this Distributor Agreement, Company hereby appoints and grants Distributor the exclusive right to sell and distribute the Products to customers that Distributor introduce and confirmed by Company, (in all territory of United State of America (USA) and to render other services as a distributor for Company as set forth herein.', ""Company shall not sell or otherwise supply, directly or indirectly, the Products to any Distributor's Customer's, except by sale through the Distributor.""]",Yes,"[""The Company shall not contact any of Distributor's Customer's for any reason, without the prior written approval of Distributor.""]",Yes,[],No,[],No,[],No
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,[],No,"[""The Distributor shall not, during the term of this Agreement, directly or indirectly market, sell, distribute, solicit orders within the Territory for any products which are competitive with the iMine Products unless JRVS consents thereto in writing in advance, based upon the Distributor's full disclosure of the material facts in seeking such consent.""]",Yes,[],No,[],No,[],No,[],No,[],No
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,[],No,"['During the term of this agreement, Distributor shall not market, sell advertise or promote the sale or use of any product or device which is competitive with or substantially similar to the Products, without the prior express written consent of Erchonia, nor shall they assist any third party in doing so.']",Yes,"['Subject to the terms set forth in this agreement, Erchonia grants Distributor the exclusive, non- transferable right and license to promote, distribute and sell the Products identified in Exhibit A to those type of customer specified in Exhibit B and only within the Territory specified in Exhibit B.']",Yes,[],No,[],No,"[""Distributor shall not do anything which is contrary to or which in Erchonia's reasonable business judgment is harmful to its honor, goodwill or reputation.""]",Yes,[],No
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,"['Distributor shall be entitled to advertise, promote, market or<omitted>solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor.']",Yes,[],No,"[""Hydraspin hereby grants to Distributor an exclusive non-transferable and royalty-free right and license to use Hydraspin's Marks in connection with the advertising, promotion, marketing, distribution and sale of the Products in the Territory in accordance with Hydraspin's standards and instructions"", 'Distributor shall be entitled to advertise, promote, market or<omitted>solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor.', 'If this Agreement is extended beyond the Initial Term, as hereinafter defined, the number of Customer Locations to be secured to maintain exclusivity during the pendency of the Agreement shall be increased to 50 from 25.', ""Hydraspin hereby appoints Distributor, and Distributor hereby accepts appointment, as Hydraspin's exclusive distributor of the Products in the Territory during the term of this Agreement, subject to the terms and conditions of this Agreement, including, but not limited to, the satisfaction of the Performance Benchmarks."", 'Hydraspin certifies, stipulates, and agrees that the Hydraspin will deal exclusively with and through the Distributor in relation to the distribution of the Products in the Territory', 'In the event the Distributor loses exclusivity on a territory due to not meeting Performance Benchmarks, the Distributor shall maintain exclusivity on any and all existing Products that are in the field and operating at them time exclusivity if forfeited.']",Yes,[],No,[],No,[],No,"['If the Parties are unable to reach an agreement on the terms of exclusivity within ten (10) business days of the date the opportunity is presented to Distributor, Hydraspin shall have no obligation to enter into a contract with Distributor regarding the new territory.', 'If Hydraspin desires to enter a new territory in the United States, Hydraspin will offer Distributor the first opportunity to become the exclusive distributor for the new territory.']",Yes
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT ADDENDUM I'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT'],[],No,[],No,"[""Talent represents and warrants that during the Term and in the Territories, Talent will not endorse or make any appearances or advertisements on behalf of any other product which is directly competitive to ESSI's products.""]",Yes,[],No,[],No,[],No,[],No,[],No
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,['COLLABORATION & ENDORSEMENT AGREEMENT'],[],No,[],No,"['Wade represents and warrants that during the Term and in  the Territory, neither Wade nor any of his agents, representatives or employees will solicit, initiate, or encourage any proposal for an endorsement by Wade of any Innerwear to commence during the Term, or participate in any discussions or negotiations for the same.']",Yes,"['Notwithstanding the foregoing, Wade agrees that for a period of ninety (90) days prior to the expiration of the Term (unless the Agreement is terminated by Wade as permitted hereunder), Naked shall have the exclusive right to negotiate for continued endorsement by Athlete of the Naked Products.', 'During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use Athlete\'s name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows:']",Yes,[],No,[],No,[],No,"['Notwithstanding the foregoing, Wade agrees that for a period of ninety (90) days prior to the expiration of the Term (unless the Agreement is terminated by Wade as permitted hereunder), Naked shall have the exclusive right to negotiate for continued endorsement by Athlete of the Naked Products.']",Yes
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,['GAS FRANCHISE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,['MASTER FRANCHISE AGREEMENT'],[],No,"['""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor\'s entertainment centers already']",Yes,[],No,"['Except as provided in the next sentence, the license granted herein shall be exclusive.', '""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor\'s entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.', 'Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.']",Yes,[],No,[],No,"[""Franchisee shall not do anything or suffer anything to be done which may adversely affect any rights of Franchisor in and to any Franchisor Property, or any registrations thereof or which, directly or indirectly, may<omitted>disparage or detract from Franchisor's reputation.""]",Yes,[],No
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"['Website Design, Development and Hosting Agreement']",[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,"['Without the prior written consent of the other Party, a Party shall not at any time while this Agreement is in force and for a one-year period after termination of this Agreement either for itself or on behalf of any other company solicit, induce or cause any employee of the other Party or any Affiliated Company of this other Party who has been a representative of or employed by the other Party in connection with this Agreement to leave such employment.']",Yes,[],No,[],No
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,['SERVICES AND HOSTING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,"['Each Party agrees that during the term of this Agreement and for a period of twelve (12) consecutive months thereafter they shall not, directly, solicit, engage, compensate, induce in any way or hire for employment or other representation, any officer, employee, consultant or other representative employed or retained by the other Party or assist any other person or entity to do any of the foregoing.']",Yes,[],No,[],No
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,['e-business Hosting Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
