Filename,Document Name,Termination For Convenience,Termination For Convenience-Answer,Change Of Control,Change Of Control-Answer,Anti-Assignment,Anti-Assignment-Answer,Post-Termination Services,Post-Termination Services-Answer
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,['DEVELOPMENT AGREEMENT'],[],No,"[""Except as otherwise provided herein, a Party shall not have the right to   assign any of its rights or obligations under this Agreement (whether through a merger, sale of stock, or otherwise) without the   prior written consent of the other Party; except that, either Party shall be permitted, without any need for the other Party's   consent, to assign this Agreement (a) in whole or in part to an Affiliate (provided, however, that once such Person is no longer an   Affiliate of the assigning Party, such former Affiliate shall assign this Agreement back to the assigning Party), provided that the   assigning Party provides the other Party notice of any such assignment provided further that failure to provide such notice of such   assignment shall not render such assignment void; or (b) to a Third Party in connection with sale or transfer of all or substantially all   of the assigning Party's business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger,   sale of assets or otherwise; provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void   and have no effect unless and until the assignee assumes the<omitted>obligations of the assigning Party in a written instrument, a copy of which is provided to the other Party; and (ii) any assignment of   this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the   assigning Party's interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which   agreement shall not be unreasonably withheld.""]",Yes,"['To the extent working with Agents or other Third Parties is permitted under the R&D Work   Plan, should a Party wish to engage an Agent or any other Third Party in connection with the R&D Work Plan or any other work   under this Agreement, such Party must obtain in advance a written agreement by such Agent or other Third Party (i) to assign to   the Party all Inventions conceived, created or generated by the Agent or other Third Party, and (ii) to maintain all Confidential   Information in confidence as set forth in Section 5.2.', ""Except as otherwise provided herein, a Party shall not have the right to   assign any of its rights or obligations under this Agreement (whether through a merger, sale of stock, or otherwise) without the   prior written consent of the other Party; except that, either Party shall be permitted, without any need for the other Party's   consent, to assign this Agreement (a) in whole or in part to an Affiliate (provided, however, that once such Person is no longer an   Affiliate of the assigning Party, such former Affiliate shall assign this Agreement back to the assigning Party), provided that the   assigning Party provides the other Party notice of any such assignment provided further that failure to provide such notice of such   assignment shall not render such assignment void; or (b) to a Third Party in connection with sale or transfer of all or substantially all   of the assigning Party's business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger,   sale of assets or otherwise; provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void   and have no effect unless and until the assignee assumes the<omitted>assigning Party in a written instrument, a copy of which is provided to the other Party; and (ii) any assignment of   this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the   assigning Party's interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which   agreement shall not be unreasonably withheld."", 'Any   assignment not in accordance with this Section 10.2 shall be void.']",Yes,[],No
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],"[""ETON has the right to terminate this Agreement after approval of the Dossier or marketing application for the Product (or added new product), at its sole discretion, upon providing one hundred eighty (180) days' written notice to Aucta.""]",Yes,"['Notwithstanding the foregoing, each Party may assign the rights and obligations under this Agreement in whole, without consent of the other Party, to a Third Party or Affiliate in connection with the transfer or sale of all or substantially all of its business or in the event of a merger, consolidation or change in control provided that the assignee assumes in writing and becomes directly obligated to the other Party to perform all of the obligations of assignor under this Agreement.']",Yes,"['The Parties shall not assign, encumber or otherwise transfer this Agreement or any part of it to any Third Party, without the prior written consent of the other Party.']",Yes,"['In addition, within twenty-five (25) months after the termination or expiration of the Term and on a Product-by-Product basis, ETON shall perform a final ""true-up"" reconciliation and shall provide Aucta with a written report of such outlining the deductions specified in the definition of Net Sales.', ""After termination is effective and Aucta assumes control of the Product, ETON will provide, to the extent practicable, transition services to Aucta to include assistance with Product distribution, processing of rebates, drug safety, etc. at Aucta's cost for such services, for a reasonable period of time as mutually determined by the Parties but not to exceed one hundred eighty (180) days following termination so that Aucta can get its own such services in place."", ""If this Agreement is terminated by Aucta under Section 11.2 or 11.3, then (a) ETON shall have the right to, and Aucta shall hereby grant ETON a license to, Market or otherwise dispose of any existing inventory of any Products then in ETON's possession subject to paying all Royalties and other amounts due hereunder for such sales, (b) Aucta may keep all the payments under Section 6 paid by ETON up to the point of termination and for ETON's disposal of remaining inventory and Aucta is free to commercialize or relicense the Product with no further obligations owed to ETON, (c) ETON shall refrain from holding itself out as Aucta's distributor, in particular, eliminate any reference to the Product and Aucta from its business, trade style and promotional material, and (d) ETON shall transfer all rights, licenses within thirty (30) days of termination.""]",Yes
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,['JOINT DEVELOPMENT AGREEMENT'],"['Accordingly, either Party may terminate this Agreement or all/part of a Project for any reason and at any time upon giving the other Party sixty (60) days prior written notice.']",Yes,"['Subject to requirements of applicable law, FCE will provide notice to ExxonMobil prior to, or promptly after, it becomes aware of any such Change in Control, and if prior notice is prohibited by applicable Law, as soon as practicable or after such notice is no longer prohibited, but in no event later than one (1) business day after any public announcement with respect to any such asset transfer or Change in Control.', 'ExxonMobil may terminate this Agreement upon fifteen (15) days written notice, without penalty, payment or prejudice to claims and obligations then accrued, if FCE undergoes a Change in Control.', 'Notwithstanding anything else in this Agreement, in the event of termination under this Paragraph 12.04 ExxonMobil may terminate any licenses granted to FCE under this Agreement that would otherwise survive termination, taking into account the circumstances surrounding the Change in Control.']",Yes,"['The Agreement is not assignable, including any assignment by operation of law (including but not limited to as a result of a merger or other corporate action), by either Party without the prior written consent of the other Party.', 'Notwithstanding the foregoing, ExxonMobil may assign this Agreement to its Affiliates and FCE may assign this Agreement to any of its wholly-owned and wholly-controlled Affiliates, with prior written notice to the other Party, provided that (i) such assignment by FCE shall be void if at any point such Affiliate ceases to be both wholly-owned and wholly- controlled by FCE, (ii) Article 12, including but not limited to Paragraphs 12.03, 12.04 and 12.05, shall be applicable to both FCE and any Affiliate assignee of FCE, and (iii) no assignment pursuant to this sentence will relieve the Parties of their obligations under this Agreement.']",Yes,"['Such books, records and accounts will be maintained for a period of at least three (3) years following the termination or expiration of this Agreement, provided there are no pending disputes between the Parties.']",Yes
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,['RECIPE DEVELOPMENT AGREEMENT'],[],No,[],No,"[""Company may not assign or transfer its rights or obligations under this Agreement, whether by operation of law, contract or otherwise, without the prior written consent of Reed's, which shall not be unreasonably withheld (it being understood that a purported assignment to a Reed's competitor identified or referred to in Exhibit D of the Manufacturing and Distribution Agreement shall be considered to be a reasonable basis for withholding consent).""]",Yes,[],No
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,['Distributorship agreement'],[],No,[],No,"['Without affecting any other rights that it may be entitled to, the Supplier may give notice in writing to the Distributor terminating this agreement immediately if the Distributor purports to assign its rights or obligations under this agreement to an entity that is not (1) affiliated with, (2) related to, or (3) sharing common ownership with the Distributor (a Permitted Assignee).', 'The Distributor shall not assign, transfer, mortgage, charge, declare a trust of or deal in any other manner with this agreement or any of its rights and obligations under or arising out of this agreement, or purport to do any of the same; provided, however, the Distributor may assign or transfer this agreement to a Permitted Assignee without the consent of Supplier.', 'The Distributor shall not sub-license, transfer or otherwise deal with the rights of use of the Trade Marks granted under this agreement.', 'The Distributor shall not sub-contract or delegate in any manner any or all of its obligations under this agreement to any third party or agent.']",Yes,"[""At the Supplier's option, on termination of this agreement:\n\n(a) the Supplier may buy from the Distributor all or any stocks of Products for the current market value for those Products. The Distributor must deliver such Products to the Supplier within 14 days of receiving the Supplier's notice, and the Supplier must pay for the Products in full within 30 days of their delivery. The Supplier shall be responsible for the costs of packaging, insurance and carriage of the Products; or\n\n(b) the Distributor may dispose of the balance of the Products in its possession and account to the Supplier for the Price for those Products;""]",Yes
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,['DISTRIBUTOR AGREEMENT'],[],No,[],No,"['Neither Party shall assign, pledge or otherwise transfer any of its rights, interest or obligations hereunder, whether by operation of law or otherwise, without the prior express written consent of the other Party.']",Yes,"['In the event that this Agreement is terminated or expires on its own terms, Company shall have no further responsibilities to Distributor except that in the event the Agreement terminates for any reason other than a breach hereof by Distributor, Company shall be obligated to process orders accepted by Company prior to the effective date of such termination or expiration or within Ninety (90) days thereafter.']",Yes
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],"['This Agreement may be terminated by either party for any reason or no reason, whether or not extended beyond the initial term, by giving the other party written notice ninety (90) days in advance.']",Yes,[],No,"['The Distributor shall not assign any of its rights, obligations or privileges (by operation of law or otherwise) hereunder without the prior written consent of JRVS.']",Yes,[],No
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,[],No,"['Erchonia may not assign any duties or obligations arising under this Agreement, except to a successor who acquires substantially all of the assets of Erchonia.', ""Distributor may not assign to any person any duties or obligations arising under this Agreement without Erchonia's prior written consent (which consent may be withheld in Erchonia's sole discretion).""]",Yes,[],No
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,"['If termination is the result of a Change of Control, Distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the Change of Control, equal to the greater of the following 1) the aggregate amount of the Distributor Share received during the 18 months prior to the effective date of such Change of Control or 2) the aggregate amount of the Distributor Share received on the 30 days prior to the effective date of such Change of Control multiplied by 18.', 'This Agreement may be terminated as follows:<omitted>(b) Immediately upon the occurrence of any of the following events and effective upon delivery of notice:<omitted>(8) by either Party, if Hydraspin undergoes a Change of Control<omitted>']",Yes,"['Notwithstanding anything contained in this Section to the contrary, Hydraspin may assign this Agreement upon written notice to Distributor to any entity which controls, is controlled by or under common control with Hydraspin or to any successor to or purchaser of all or substantially all of its assets or stock, by merger or otherwise.', 'Any attempted assignment without such consent shall be void and of no effect.', 'Neither Party may assign any right, or delegate any duty under this Agreement, in whole or in part, without the prior written consent of the other Party, which shall not be unreasonably withheld or delayed.']",Yes,[],No
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT ADDENDUM I'],[],No,[],No,[],No,[],No
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT'],[],No,[],No,['Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either party without the prior written consent of the other party.'],Yes,[],No
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,['COLLABORATION & ENDORSEMENT AGREEMENT'],[],No,[],No,['Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either Party without the prior written consent of the other Party.'],Yes,"['For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.']",Yes
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,['GAS FRANCHISE AGREEMENT'],[],No,[],No,[],No,[],No
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,['MASTER FRANCHISE AGREEMENT'],[],No,[],No,"['The Franchisee shall not be entitled to assign, transfer, encumber or dispose of any of its rights and or obligations under this Agreement, including to an affiliate, without the prior written consent of the Franchisor.']",Yes,[],No
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"['Website Design, Development and Hosting Agreement']",['Company at its sole discretion may at any time alter or cease providing the Customer Service which it has agreed to provide to Client relating to Client Website pursuant to this Agreement without any liability to Company.'],Yes,[],No,[],No,[],No
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],['The Agreement may be terminated by both Parties with a notification period of *** before the end of the Initial Term of the Agreement.'],Yes,[],No,"['This Agreement and the rights and obligations specified herein shall be binding upon the Parties and their respective legal successors and neither Party shall sell, transfer or assign this Agreement or any part, interest, right or obligation hereunder except that a Party shall have the right to transfer or assign this Agreement in whole (but not in part) to an Affiliated Company provided that:<omitted>a) such Affiliated Company expressly assumes, by written instrument, all of the obligations of the Party under this Agreement and thereby becomes a Party to this Agreement, and   b) such Affiliated Company has adequate financial strength, resources and experience in the reasonable opinion of the other Party (such opinion to be obtained in writing in advance of any assignment), to comply with its obligations under this Agreement. Such assignment shall not release the assigning Party of its obligations under article 11 of this Agreement.']",Yes,[],No
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,['SERVICES AND HOSTING AGREEMENT'],"['Regardless of the term, Licensee can terminate Agreement with at least one hundred eighty (180) days written notice with no further obligation.']",Yes,[],No,"[""Any attempted assignment or delegation without such prior written consent, except as expressly set forth herein, will be void, or at the non-assigning Party's sole discretion, may be treated as fully binding upon and in force and effect against any such successor or assign."", 'Neither Party may assign this Agreement or otherwise transfer in any way any of the rights and obligations arising out of this Agreement without the prior written consent of the other Party.']",Yes,[],No
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,['e-business Hosting Agreement'],"['Customer may terminate this Agreement, or any portion of Services specified herein, for convenience by: providing at least sixty (60) days prior written notice to IBM; and paying the applicable early termination charges specified in Attachment C.']",Yes,[],No,"['Neither party may assign this Agreement, in whole or in part, without the prior written consent of the other.', 'The assignment of this Agreement, in whole or in part, to any Affiliates in the United States or to a successor organization by merger or acquisition does not require the consent of the other.']",Yes,[],No
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"['INTELLECTUAL PROPERTY AGREEMENT, d']","['This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.']",Yes,"[""Notwithstanding the foregoing, if any Party to this Agreement (or any of its successors or permitted assigns) (a) shall enter into a consolidation or merger transaction in which such Party is not the surviving entity and the surviving entity acquires or assumes all or substantially all of such Party's assets, (b) shall transfer all or substantially all of such Party's assets to any Person or (c) shall assign this Agreement to such Party's Affiliates, then, in each such case, the assigning Party (or its successors or permitted assigns, as applicable) shall ensure that the assignee or successor-in-interest expressly assumes in writing all of the obligations of the assigning Party under this Agreement, and the assigning Party shall not be required to seek consent, but shall provide written notice and evidence of such assignment, assumption or succession to the non-assigning Party.""]",Yes,"['Any purported assignment without such consent shall be void.', 'Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party.']",Yes,[],No
