Filename,Document Name,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Price Restrictions,Price Restrictions-Answer,Minimum Commitment,Minimum Commitment-Answer,Volume Restriction,Volume Restriction-Answer,Audit Rights,Audit Rights-Answer
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,['DEVELOPMENT AGREEMENT'],[],No,[],No,[],No,[],No,[],No
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],"['ETON shall pay to Aucta a royalty payment of [ * * * ] of Net Sales of the Products.', 'Aucta should continue to receive 15% of Net Sales Royalty for as long as ETON is selling the Product(s) in the Territory, unless otherwise agreed to under this Agreement.']",Yes,[],No,"['If the amount of royalty payment under Section 6.3.1 is less than the amount of royalty payment under Section 6.3.2, then ETON shall pay Aucta the difference between royalty payments in Sections 6.3.1 and 6.3.2 within sixty (60) days of the calendar year end, but in no event shall the difference paid be greater than the minimum amount in Section 6.3.2.']",Yes,"['During the Term of this Agreement, and for a period of two (2) years thereafter, Aucta shall not research, develop, manufacture, file, sell, market, or distribute more than two products containing the active ingredient Lamotrigine; nor will Aucta directly or indirectly assist any other Person or entity in carrying or any such activities.']",Yes,"[""Each Party shall permit an independent certified public accounting firm selected by the auditing Party and reasonably acceptable to the non-auditing Party, that has agreed to be bound by a confidentiality agreement reasonably acceptable to the Parties, to have access, during normal business hours and upon reasonable prior notice (not more often than once in any calendar year), to those books and records maintained by the non-auditing Party necessary for the auditing Party to verify the accuracy of the non-auditing Party's calculations under this Section 6 and/or cost of Product(s) for any period ending not more than two (2) years prior to the date of such request, subject to any limitations in scope necessary to comply with Applicable Law, Third Party confidentiality restrictions, or maintain legal privilege, including but not limited to Third Party pricing information.""]",Yes
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,['JOINT DEVELOPMENT AGREEMENT'],[],No,[],No,[],No,[],No,"[""At the request of ExxonMobil, FCE will permit, at reasonable intervals and during regular business hours, during the Term of this Agreement and at least three (3) years thereafter, but no more than once per fiscal year, an independent certified public accounting firm of nationally recognized standing selected by ExxonMobil (and approved by FCE, which approval will not be unreasonably withheld) to inspect, during regular business hours, such books, records, and accounts and any part of the applicable operations and facilities of FCE relevant to this Agreement, and to have access to FCE's knowledgeable personnel, as may be necessary to determine the completeness and accuracy of any accounting and payments required to be made under this Agreement and compliance with other terms of this Agreement, subject to the following:\n\n(a) ExxonMobil and its employees or other representatives will have the right to reproduce for its internal records any of the documents kept by FCE in accordance with Paragraph 18.01 (Recordkeeping), such reproduced documents shall be subject to the confidentiality and use provisions contained in Article 4; and\n\n(b) all expenses of each such audit, including any pre-approved reasonable expenses incurred by FCE for such audit, will be for the account of ExxonMobil."", 'FCE will cause any subcontractors to preserve documentation and allow ExxonMobil to audit such books, records, and accounts of subcontractors by way of auditing FCE.']",Yes
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,['RECIPE DEVELOPMENT AGREEMENT'],[],No,[],No,[],No,[],No,[],No
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,['Distributorship agreement'],[],No,[],No,[],No,[],No,"['The Distributor undertakes and agrees with the Supplier that at all times during the Term it will:<omitted>allow the Supplier, on reasonable notice, access to its accounts and records relating to the sale or distribution of the Products for inspection but not more than once in each year.']",Yes
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,['DISTRIBUTOR AGREEMENT'],[],No,"[""Such Prices and Volume Discount Prices shall only be subject to increase once per year on each anniversary date of this Agreement, provided (i) Company provides Distributor with at least Ninety (90) days prior written notice of any such increase, and (ii) such increase does not exceed 5% of the preceding year's Prices, except for reasons of force majeure, (Chapter 10), and Volume Discount Prices nor the lowest price charged to others for the same Product."", ""Subject to Company's right to increase the price only once per year per the terms and restrictions contained in the Agreement, and Company's right to decrease the price at any time upon notice, the Products shall be sold by Company to Distributor at the following Prices and Volume Discount Prices.""]",Yes,[],No,"[""In addition to any other responsibilities stated in this Agreement, Company will: (a) Provide, at Distributor's reasonable request and without charge, up to 10 hours of training with regard to any characteristics of the Products that Distributor deems reasonably necessary for Distributor and its employees and agents to fulfill the purposes of Distributor's appointment,""]",Yes,[],No
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,[],No,"[""The Distributor's single purchase order amount shall be a minimum of five units.""]",Yes,[],No,"['Additionally, the Distributor shall provide JRVS with its audited financial statements within three (3) months of the end of its fiscal year.', ""JRVS shall be entitled at any time to audit the Distributor's books and records upon reasonable notice in order to confirm the accuracy of the Reports set forth in Section 3.4; provided, that no more than one such audit may be conducted in any three-month period. Any JRVS-elected audit shall be performed at JRVS's own expense during normal business hours; Distributor shall provide reasonable assistance to JRVS for the audit.""]",Yes
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],[],No,[],No,"['In addition, Erchonia may require reasonable minimum purchasing requirements for each run of private labeled products.', ""Failure to meet these minimum performance goals for any period, shall, at Erchonia's option (i) be considered a breach of this agreement for which Erchonia shall have all the rights and remedies provided for herein upon a breach of this agreement, including termination of this agreement, or (ii) shall give Erchonia to terminate or limit the exclusivity provisions of this agreement"", 'Distributor agrees that during the term of this agreement it meet the minimum performance goals set forth in Exhibit C to this agreement.', ""Minimum Performance won't be determined until FDA 50k market clearance is obtained.""]",Yes,[],No,"['All such information shall be available for inspection by Erchonia, upon reasonable notice.']",Yes
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],"['""Distributor Share"" means, with respect to Net Revenue, the percentage of Net Revenue that the Distributor is entitled to receive, as follows: (i) for the first ten (10) Products installed, 7.5% of Net Revenue, and (ii) for the eleventh (11th) Product installed and all Products installed thereafter, 15% of Net Revenue. Notwithstanding anything to the contrary contained herein, the 1\n\nSource: WATER NOW, INC., 10-Q, 11/20/2019\n\n\n\n\n\nDistributor Share with respect to the split of Net Revenue between Hydraspin and the Distributor with respect to any particular Production installation or group Product installation may be negotiated by Hydraspin and the Distributor and set forth in a separate written agreement between the Parties, and in such case, the Distributor Share set forth in the separate written agreement shall supersede and control over the Distributor Share set forth above.', '""Hydraspin Share"" means, with respect to Net Revenue, the percentage of Net Revenue that Hydraspin is entitled to receive, as follows: (i) for the first ten (10) Products installed, 92.5% of Net Revenue, and (ii) for the eleventh (11th) Product installed and all Products installed thereafter, 85% of Net Revenue.', 'With respect to each Revenue Event, Distributor shall be entitled to receive the Distributor Share of Net Revenue, and Hydraspin shall be entitled to receive the Hydraspin Share of Net Revenue.']",Yes,[],No,"['""Performance Benchmarks"" shall mean the following requirements necessary for Distributor to maintain the exclusivity granted in Section 2.1 hereof: (a) the execution of contracts to deploy Products in 25 new locations approved in advance by Hydraspin (""Customer Locations"") during each 12 month period following the Effective Date and (b) all Customer Locations in the aggregate shall generate an average of 7,500 barrels of fluid per day on a trailing 12 month basis. Customer Locations must be available for installation within 90 days of approval by Hydraspin to be applied toward the satisfaction of the Performance Benchmark.', 'If this Agreement is extended beyond the Initial Term, as hereinafter defined, the number of Customer Locations to be secured to maintain exclusivity during the pendency of the Agreement shall be increased to 50 from 25.']",Yes,[],No,"['During the term of this Agreement, Distributor shall afford to Hydraspin and its authorized representatives full access at all reasonable times and upon reasonable prior notice, to all such books and records with respect to the Products.']",Yes
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT ADDENDUM I'],"['A *donation of $0.05 per Unit sold of Licensed Products within the Contract Territory payable to the **NFL Alumni Northern California Chapter.', 'The NFLA-NC will donate 15% of the above described proceeds to the NFLA.']",Yes,[],No,[],No,[],No,[],No
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT'],"['ESSI will provide Talent with one-million (1,000,000) shares of restricted common stock issued within ten business days of execution of this Agreement.']",Yes,[],No,[],No,['In the event any Production Session exceeds eight (8) hours in duration ESSI and Talent will negotiate in good faith additional compensation to Talent for time in excess of eight (8) hours.'],Yes,[],No
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,['COLLABORATION & ENDORSEMENT AGREEMENT'],"[""As consideration for Wade's services under this Agreement, Naked will pay Wade royalties as follows:\n\nA. Royalties. Naked will report, and Wade will be paid, royalty payments at [***]"", 'Wade is hereby granted a warrant (the ""Grant Warrant"") exercisable for a period of seven (7) years from the date of issuance for the number of shares of Common Stock equal to [***] shares of Common Stock (the ""Wade Grant""), subject to the following terms:']",Yes,[],No,[],No,"['During each Contract Year, Wade will be available for two (2) personal appearances (each, a ""Personal Appearance"") on behalf of Naked and the Naked Products and Wade Products in the media, including publicity shoots, interviews, print, television, radio and social media channels, each appearance for a maximum of sixty (60) consecutive minutes to be scheduled at a time mutually agreeable to Naked and Wade;', 'Beginning in the second Contract Year, Wade will be available for a maximum of one (1) production day for creating marketing assets for Wade Products and Naked Products for unlimited use in advertisements and the media, for a maximum of three (3) consecutive hours, not including scheduled breaks, during such production day period.', 'Wade shall be available to render services at such production day for a maximum of three (3) consecutive hours, not including scheduled breaks, during each such production day period; provided that, in the event an additional production day is reasonably required for the creation of marketing assets related to the Wade Product packaging, Athlete will be available to render services for up to an additional three (3) hours in either the first Contract Year or the second Contract Year but not both.']",Yes,[],No
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,['GAS FRANCHISE AGREEMENT'],"[""Grantor's Franchise Fee shall be a percentage share of the base year total annual Franchise Fee, which shall be determined on a pro rata basis according to its percentage share of the total dollar value of Grantee's gas sales occurring within the localities during the calendar year."", ""For each calendar year of the Franchise, each locality's percentage share shall be determined by the following formula:\n\ntotal dollar value of Grantee's gas sales within Locality's percentage share = the Territorial Limits of the locality total dollar value of Grantee's gas sales in the three localities""]",Yes,[],No,[],No,[],No,[],No
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,['MASTER FRANCHISE AGREEMENT'],"['If third party franchisees are operating the Smaaash Centres, then the Franchisee shall be entitled to receive, (i) 5% (five percent) of the capital expenditure as agreed among the parties for the particular Smaaash Centre as sign -on fees or upfront advance, and (ii) 5% (five percent) fee or commission of the revenue generated by such third party franchisees from the Smaash Centres on an annual basis.']",Yes,[],No,['Franchisee or third party sub -franchisees shall be under an obligation to set up at least 6 (six) Smaaash Centres during the first Contract Year or any other time period as may be provided by Franchisor.'],Yes,[],No,"['During the Term, Franchisor shall have the right to conduct audits of Franchisee with respect to the Smaaash Centres, and inspect the Smaaash Centres, after providing a written notice of 5 (five) days.', 'Franchisee shall be under an obligation to provide any information as may be requested by Franchisor with respect to the Smaaash Centres, including the books of accounts and other relevant documents or records maintained in relation to the Smaaash Centres.']",Yes
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"['Website Design, Development and Hosting Agreement']",[],No,[],No,[],No,[],No,[],No
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,['SERVICES AND HOSTING AGREEMENT'],[],No,"['VOTOCAST will give Licensee at least thirty (30) days prior written notice of any rate changes during any Renewal Term.', 'VOTOCAST expressly reserves the right to change its rates charged hereunder for the Services during any Renewal Term (as detined herein) but agrees that rates may not increase by more than ten percent (10%) during any Renewal Term.', 'If circumstances require VOTOCAST to raise its rates more than ten percent (10%) during any Renewal Term, VOTOCAST will provide Licensee cost related supporting documentation to justify the rate increase.']",Yes,[],No,[],No,[],No
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,['e-business Hosting Agreement'],[],No,[],No,[],No,"['Restore System Images at no additional charge up to two (2) times per month per Managed Server per Customer.', ""If Customer's Peak Bandwidth Usage for the month exceeds Committed Bandwidth, Customer will incur a Peak Bandwidth Usage charge, for the amount of usage that exceeds Committed Bandwidth, at the rate specified in Attachment C."", ""Customer's data traffic between the e-business Hosting Center and the Internet may not exceed Committed Bandwidth, unless otherwise expressly specified in an Attachment."", 'Customer is allowed up to three (3) emergency requests per month at no additional charge.']",Yes,[],No
